date,cases,vaccin,fully_vaccin
2020-03-02,2.0,0.0,0.0
2020-03-03,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0
2020-03-06,2.0,0.0,0.0
2020-03-07,0.0,0.0,0.0
2020-03-08,2.0,0.0,0.0
2020-03-09,13.0,0.0,0.0
2020-03-10,8.0,0.0,0.0
2020-03-11,7.0,0.0,0.0
2020-03-12,0.0,0.0,0.0
2020-03-13,35.0,0.0,0.0
2020-03-14,27.0,0.0,0.0
2020-03-15,21.0,0.0,0.0
2020-03-16,17.0,0.0,0.0
2020-03-17,38.0,0.0,0.0
2020-03-18,55.0,0.0,0.0
2020-03-19,84.0,0.0,0.0
2020-03-20,58.0,0.0,0.0
2020-03-21,81.0,0.0,0.0
2020-03-22,64.0,0.0,0.0
2020-03-23,65.0,0.0,0.0
2020-03-24,107.0,0.0,0.0
2020-03-25,104.0,0.0,0.0
2020-03-26,103.0,0.0,0.0
2020-03-27,153.0,0.0,0.0
2020-03-28,109.0,0.0,0.0
2020-03-29,130.0,0.0,0.0
2020-03-30,129.0,0.0,0.0
2020-03-31,114.0,0.0,0.0
2020-04-01,149.0,0.0,0.0
2020-04-02,113.0,0.0,0.0
2020-04-03,196.0,0.0,0.0
2020-04-04,106.0,0.0,0.0
2020-04-05,181.0,0.0,0.0
2020-04-06,218.0,0.0,0.0
2020-04-07,247.0,0.0,0.0
2020-04-08,218.0,0.0,0.0
2020-04-09,337.0,0.0,0.0
2020-04-10,219.0,0.0,0.0
2020-04-11,330.0,0.0,0.0
2020-04-12,399.0,0.0,0.0
2020-04-13,316.0,0.0,0.0
