,0
0,0.007672432432432428
1,0.008967261410788385
2,-0.003648278008298758
3,0.0002662785862785868
4,0.00823669438669438
5,0.017447484407484413
6,0.009608541666666663
7,0.02435692307692305
8,0.022971663201663203
9,0.01642902286902285
10,0.011751933471933478
11,0.011953347193347183
12,0.016534261954261966
13,-0.008225883575883582
14,-0.011432931392931386
15,-0.03986388773388782
16,-0.06301587499999994
17,-0.08842162499999986
18,-0.10094768750000012
19,-0.1282480167014613
20,-0.19747354906054265
21,-0.15765981327800824
22,-0.16657602910602903
23,-0.2720634854771783
24,-0.22153579166666681
25,-0.23216914760914756
26,-0.2631411018711017
27,-0.3280347500000003
28,-0.23707829521829507
29,-0.23216488565488594
30,-0.23064612033195017
31,-0.23495744282744302
32,-0.24361062370062347
33,-0.26460241164241155
34,-0.3169433264033265
35,-0.23328118257261413
36,-0.21957459459459455
37,-0.22851989626556019
38,-0.22398134854771762
39,-0.331595841995842
40,-0.29963431535269686
41,-0.3301899168399169
42,-0.2321496680497925
43,-0.22037771309771317
44,-0.2269524532224534
45,-0.22800268191268186
46,-0.2392621205821204
47,-0.25117987525987523
48,-0.2941262370062372
49,-0.20102983367983357
50,-0.18387218295218283
51,-0.17950130977130968
52,-0.17347237006237004
53,-0.3069899999999997
54,-0.31656692307692297
55,-0.3706303742203739
56,-0.261371891891892
57,-0.25759706860706866
58,-0.25379665280665265
59,-0.25012758835758825
60,-0.32397380457380426
61,-0.2920783367983368
62,-0.3420875259875263
63,-0.23156760914760907
64,-0.2247225779625777
65,-0.21627164241164246
66,-0.2931833887733886
67,-0.24240929313929316
68,-0.2594987525987526
69,-0.3022210602910604
70,-0.19847176715176706
71,-0.18633442827442837
72,-0.18812943866943854
73,-0.19342821205821206
74,-0.1838433887733887
75,-0.19184733887733904
76,-0.26058205821205815
77,-0.15738744282744277
78,-0.14001207039337488
79,-0.11776966804979261
80,-0.1638603534303534
81,-0.15245530145530148
82,-0.19391672199170118
83,-0.18982908523908532
84,-0.19334504149377568
85,-0.14149458506224064
86,-0.1540015384615384
87,-0.16355245322245318
88,-0.17749760914760923
89,-0.17000081081081067
90,-0.18844661122661133
91,-0.19231602910602913
92,-0.11200209979209971
93,-0.12448137214137213
94,-0.1333768607068605
95,-0.14270353430353439
96,-0.1490566735966737
97,-0.15837983367983363
98,-0.10078112266112264
99,-0.10197297297297306
100,-0.10074665280665282
101,-0.10201301455301458
102,-0.11415270270270267
103,-0.12492095634095644
104,-0.12525174636174635
105,-0.0800097920997921
106,-0.08086178794178803
107,-0.08613523908523912
108,-0.0988219126819127
109,-0.11232309771309786
110,-0.0999010395010396
111,-0.1251757172557173
112,-0.08364765072765076
113,-0.07949195426195431
114,-0.08023207900207895
115,-0.07403802494802496
116,-0.08868031185031179
117,-0.08440370833333345
118,-0.09243814583333337
119,-0.062341683991683966
120,-0.06072338877338875
121,-0.06276068607068606
122,-0.07113264033264034
123,-0.07374307692307684
124,-0.06057412499999994
125,-0.06152243243243244
126,-0.05424854469854473
127,-0.042846299376299385
128,-0.05467642411642405
129,-0.06783076923076924
130,-0.060033284823284815
131,-0.05432155925155926
132,-0.06820933471933474
133,-0.051454760914760866
134,-0.06315627858627855
135,-0.05146808731808736
136,-0.05791771309771308
137,-0.06380490644490641
138,-0.06657799999999998
139,-0.07628000000000001
140,-0.044440103950103976
141,-0.055475280665280645
142,-0.06608282744282741
143,-0.06699128898128903
144,-0.06736954261954262
145,-0.06488214137214134
146,-0.08724869022869021
147,-0.045251958333333314
148,-0.03555945945945946
149,-0.013955904365904366
150,0.014021101871101877
151,-0.08552239583333335
152,-0.035158183716075146
153,0.023434656964656974
154,0.015116153846153842
155,-0.007086424116424115
156,-0.0031948750000000015
157,-0.005017359667359672
158,-0.019249687499999994
159,-0.008840625000000001
160,-0.0202325363825364
161,0.0021728066528066514
162,-0.017281143451143455
163,-0.014354740124740127
164,-0.012440374220374223
165,-0.01816233333333332
166,0.00729710416666667
167,-0.006322458333333335
168,-0.006322458333333335
169,0.021409397089397098
170,0.01536183333333333
171,-0.05372141372141374
172,-0.06867352083333336
173,-0.033133145833333315
174,-0.03182250000000001
175,-0.009195363825363833
176,-0.009316964656964653
177,-0.012711580041580033
178,-0.015970519750519763
179,-0.02346443749999999
180,-0.024915937500000002
181,-0.02313772916666667
182,-0.01635175
183,-0.01665079002079002
184,-0.01947966735966736
185,-0.0538638045738046
186,-0.048546958333333355
187,-0.033945062500000005
188,-0.04143837500000002
189,-0.02211858037578287
190,-0.029590187891440512
191,-0.04346797494780797
192,-0.07638910416666664
193,-0.07729425
194,-0.06738064583333331
195,-0.08945460416666656
196,-0.06063668749999998
197,-0.06569995833333332
198,-0.06137283333333337
199,-0.07389293749999999
200,-0.08624320833333328
201,-0.07681578288100215
202,-0.09948770354906052
203,-0.07731250000000005
204,-0.07278689583333336
205,-0.07194314583333335
206,-0.08120993750000004
207,-0.09226822916666665
